id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	price_lower	price_upper	price_range	price_mid
239348	2	3	1	0.066887	0.1	0.066886	0.099999	0.166887	0.0196310655628851	18.87	229.56	1.0002	1.0003	0.0001	1.0003
278335	-1	5	6	22.050254	11.142032	0.0	0.0	33.192286	1.273174148507503	8.02	97.52	0.9999	1.0005	0.0006	1.0002
101150	-4	5	9	9.701573	15.499999	16.522231	8.679123	25.201572	1.7907813510620487	6.27	76.26	0.9996	1.0005	0.0009	1.0001
235131	2	3	1	0.3	0.0	0.261169	0.038838	0.3	0.0073968009286724	3.81	46.32	1.0002	1.0003	0.0001	1.0003
141756	-5	13	18	447.198396	554.173056	655.834835	345.472257	1001.371452	36.52577214429439	3.69	44.87	0.9995	1.0013	0.0018	1.0004
228284	-2	3	5	210.697992	112.229023	0.0	322.954357	322.927015	7.814300167699256	3.56	43.33	0.9998	1.0003	0.0005	1.0001
100627	-6	8	14	2.365643	7.606097	0.0	0.0	9.97174	0.3933460027594527	3.47	42.25	0.9994	1.0008	0.0014	1.0001
290878	-6932	4055	10987	50.137979	79.992513	50.134282	79.996209	130.130492	1.8518531239148903	3.25	39.5	0.5	1.5	1.0	1.0
290362	-1	2	3	129.740185	2.995398	132.73587	0.0	132.735583	1.657128309340858	2.84	34.5	0.9999	1.0002	0.0003	1.0001
290924	-10	4054	4064	129.999624	0.321323	129.990036	0.330909	130.32094700000002	1.204046650504326	2.11	25.66	0.999	1.4999	0.5009	1.2494
288012	1	2	1	2546.413086	29.998382	2576.40845	0.0	2576.411468	21.45940052929231	1.86	22.63	1.0001	1.0002	0.0001	1.0002
165668	-3	7	10	10.0	9.437809	4.303247	4.832604	19.437809	0.3212066564860961	1.83	22.29	0.9997	1.0007	0.001	1.0002
294116	-2	-1	1	3.15323	21.490788	0.0	24.643682	24.644018	0.1722142558343213	1.66	20.14	0.9998	0.9999	0.0001	0.9999
248984	-1	4	5	1.414336	0.366838	0.0	0.0	1.781174	0.0146607786905321	1.41	17.11	0.9999	1.0004	0.0005	1.0002
253122	3	8	5	293.372791	324.927483	618.160155	0.0	618.300274	3.541687935692785	1.01	12.23	1.0003	1.0008	0.0005	1.0006
297419	-3	2	5	59.232046	37.995987	26.935493	70.291842	97.228033	0.2990360823920676	0.75	9.1	0.9997	1.0002	0.0005	1.0
41436	-3	-2	1	5.440525	0.533634	0.0	5.972823	5.974159	0.0575333218545562	0.68	8.27	0.9997	0.9998	0.0001	0.9998
39388	-3	-2	1	69999.999997	15432.734317	0.0	85415.869573	85432.734314	823.1269173454664	0.67	8.18	0.9997	0.9998	0.0001	0.9998
40423	-3	-2	1	1299.999995	156.86533	0.0	1456.547379	1456.865325	13.818401487261738	0.67	8.11	0.9997	0.9998	0.0001	0.9998
40330	-3	-2	1	175.425238	19.992206	0.0	195.374492	195.417444	1.8649340788972169	0.67	8.15	0.9997	0.9998	0.0001	0.9998
125273	-3	2	5	149.999999	80.440345	0.0	0.0	230.440344	1.570106124277132	0.66	7.97	0.9997	1.0002	0.0005	1.0
267736	0	3	3	4e-06	6e-06	3e-06	5e-06	9.9999999999e-06	3.3700562895711273e-08	0.65	7.97	1.0	1.0003	0.0003	1.0002
40278	-3	-2	1	23305.803905	2668.959837	0.0	25969.058039	25974.763742	235.5049695594118	0.64	7.74	0.9997	0.9998	0.0001	0.9998
47070	-3	-2	1	130.6741	174.999922	0.0	305.645098	305.67402200000004	2.641696864297742	0.63	7.62	0.9997	0.9998	0.0001	0.9998
41363	-3	-2	1	10191.296181	999.609044	0.0	11188.40336	11190.905225	95.84442949559288	0.6	7.35	0.9997	0.9998	0.0001	0.9998
41345	-3	-2	1	451.072949	46.5818	0.0	497.544111	497.654749	4.266624297045983	0.6	7.36	0.9997	0.9998	0.0001	0.9998
41673	-3	-2	1	53.375448	5.073308	32.161801	26.28116	58.448756	0.4947681468557935	0.6	7.28	0.9997	0.9998	0.0001	0.9998
45115	-3	-2	1	250000.0	0.0	0.0	249937.510935	250000.0	2003.3355110039945	0.58	7.01	0.9997	0.9998	0.0001	0.9998
45121	-3	-2	1	250000.0	0.0	0.0	249937.510935	250000.0	2003.3355110039945	0.58	7.01	0.9997	0.9998	0.0001	0.9998
45383	-3	-2	1	147334.518023	0.0	0.0	147297.690838	147334.518023	1180.6418878085356	0.58	7.03	0.9997	0.9998	0.0001	0.9998
45394	-3	-2	1	52812.260447	2896.212956	0.0	55695.409924	55708.473403	446.0915312398285	0.58	7.02	0.9997	0.9998	0.0001	0.9998
45570	-3	-2	1	268050.64462	217311.210411	0.0	485300.839517	485361.855031	3833.098325987618	0.57	6.93	0.9997	0.9998	0.0001	0.9998
45459	-3	-2	1	107219.319911	22556.949073	0.0	129750.400585	129776.268984	1032.658833895402	0.57	6.98	0.9997	0.9998	0.0001	0.9998
45465	-3	-2	1	70558.092231	31515.053298	0.0	102056.598208	102073.145529	811.8647247478508	0.57	6.98	0.9997	0.9998	0.0001	0.9998
45485	-3	-2	1	30005.131812	14665.587198	0.0	44663.711522	44670.71901	354.6311527716044	0.57	6.97	0.9997	0.9998	0.0001	0.9998
45477	-3	-2	1	29460.60778	13698.690274	0.0	43152.401674	43159.298054	342.8667648806092	0.57	6.97	0.9997	0.9998	0.0001	0.9998
45391	-3	-2	1	30796.717557	4161.47609	0.0	34950.625	34958.193647	278.09325206774685	0.57	6.98	0.9997	0.9998	0.0001	0.9998
45495	-3	-2	1	15002.451521	7538.835858	0.0	22537.788267	22541.287379	178.86261400263032	0.57	6.96	0.9997	0.9998	0.0001	0.9998
45576	-3	-2	1	6310.832079	5592.276442	0.0	11901.679311	11903.108521	93.98447930943816	0.57	6.93	0.9997	0.9998	0.0001	0.9998
45647	-3	-2	1	3962.61608	3632.808484	0.0	7594.528831	7595.424564	59.6504143905645	0.57	6.9	0.9997	0.9998	0.0001	0.9998
45858	-3	-2	1	54529.069137	58243.933859	0.0	112760.781012	112773.002996	873.0375021526519	0.56	6.81	0.9997	0.9998	0.0001	0.9998
45951	-3	-2	1	25647.392051	30448.587342	0.0	56090.264609	56095.979393	430.6396862781098	0.56	6.76	0.9997	0.9998	0.0001	0.9998
45768	-3	-2	1	1604.562193	1620.735182	0.0	3224.936613	3225.297375	25.122526565862763	0.56	6.85	0.9997	0.9998	0.0001	0.9998
45716	-3	-2	1	200.752265	189.37874	0.0	390.085697	390.131005	3.049373677340644	0.56	6.87	0.9997	0.9998	0.0001	0.9998
45965	-3	-2	1	3729.04776	4467.988716	0.0	8196.205988	8197.036476	62.833429199592	0.55	6.75	0.9997	0.9998	0.0001	0.9998
47289	-3	-2	1	280.960686	495.050157	0.0	775.949575	776.010843	5.82280236330983	0.54	6.62	0.9997	0.9998	0.0001	0.9998
47263	-3	-2	1	87.159559	124.133815	0.0	211.274147	211.293374	1.5859204632781565	0.54	6.62	0.9997	0.9998	0.0001	0.9998
45579	-3	-2	1	29.903711	27.617851	20.574886	36.9444	57.521562	0.4198018618296105	0.53	6.41	0.9997	0.9998	0.0001	0.9998
48620	-3	-2	1	516.245699	999.669033	12.424135	1503.38123	1515.914732	10.84906396223344	0.52	6.34	0.9997	0.9998	0.0001	0.9998
49826	-3	-2	1	2630.597654	6651.444555	0.0	9281.478907	9282.042209	60.771929998694944	0.48	5.85	0.9997	0.9998	0.0001	0.9998
49774	-3	-2	1	56.932592	143.953592	0.0	200.873991	200.886184	1.321988685323361	0.48	5.87	0.9997	0.9998	0.0001	0.9998
51955	-3	-2	1	39.954973	99.963842	0.0	139.910254	139.918815	0.8609525145518255	0.46	5.6	0.9997	0.9998	0.0001	0.9998
45513	-3	-2	1	142967.284623	89288.197202	81664.379445	150575.907878	232255.481825	1454.3479511237788	0.45	5.5	0.9997	0.9998	0.0001	0.9998
38954	-3	-1	2	280.803035	297.655576	0.0	578.416905	578.458611	3.668129647855325	0.44	5.38	0.9997	0.9999	0.0002	0.9998
51258	-3	-2	1	9310.633322	24303.716045	0.0	33612.358629	33614.349367	185.5356060792953	0.41	4.99	0.9997	0.9998	0.0001	0.9998
45420	-3	-2	1	3069.730129	1510.874661	54.469257	4525.407297	4580.60479	24.169821691114745	0.38	4.63	0.9997	0.9998	0.0001	0.9998
143005	8	18	10	1.298681	0.979128	2.276815	0.0	2.277809	0.0085927222949888	0.38	4.66	1.0008	1.0018	0.001	1.0013
106297	1	3	2	18.243606	9.630725	0.0	0.0	27.874331	0.1175796686142203	0.38	4.61	1.0001	1.0003	0.0002	1.0002
45927	-3	-2	1	4913.679002	7766.645809	1201.985436	11477.514341	12680.324811	63.0565929452368	0.36	4.38	0.9997	0.9998	0.0001	0.9998
45411	-3	-2	1	28843.337328	31283.590092	0.0	60120.194955	60126.92742	276.85406292762127	0.33	4.04	0.9997	0.9998	0.0001	0.9998
39389	-3	-1	2	7676.740979	704.172996	0.0	8379.442933	8380.913975	40.003273881109344	0.33	4.05	0.9997	0.9999	0.0002	0.9998
42393	-4	-2	2	8.0	5.123033	1.888936	11.232413	13.123033	0.060396531205897	0.33	3.97	0.9996	0.9998	0.0002	0.9997
54361	-3	-2	1	3122.766473	6715.594158	0.0	9837.686632	9838.360631	41.53319790092575	0.32	3.94	0.9997	0.9998	0.0001	0.9998
45930	-3	-2	1	13137.919365	19869.399941	10882.184281	22124.591892	33007.319306	135.81405175522036	0.3	3.62	0.9997	0.9998	0.0001	0.9998
45651	-3	-2	1	10010.258512	9331.744136	5934.781432	13406.238321	19342.002648	81.65658053932451	0.3	3.71	0.9997	0.9998	0.0001	0.9998
41224	-3	-1	2	699.434185	39.984436	0.0	739.282537	739.4186209999999	3.1957917830760088	0.3	3.71	0.9997	0.9999	0.0002	0.9998
39621	-3	-1	2	1917.758592	114.964769	1274.799766	757.758346	2032.723361	8.526684031519608	0.29	3.57	0.9997	0.9999	0.0002	0.9998
45428	-4	-2	2	333.349154	390.779812	0.0	724.046967	724.128966	2.891395478512675	0.29	3.5	0.9996	0.9998	0.0002	0.9997
53396	-3	-2	1	51525.105823	114958.437167	0.0	166472.442525	166483.54299	618.3306711570538	0.28	3.44	0.9997	0.9998	0.0001	0.9998
45938	-3	-1	2	8218.715674	3039.766756	0.0	11257.06082	11258.48243	43.364131923433625	0.28	3.39	0.9997	0.9999	0.0002	0.9998
215728	1	6	5	72.074853	19.66318	0.0	0.0	91.738033	0.1876538235047985	0.28	3.4	1.0001	1.0006	0.0005	1.0004
42893	-5	-2	3	49896.924224	26440.970049	0.0	76323.026341	76337.894273	291.5478092223781	0.27	3.31	0.9995	0.9998	0.0003	0.9997
53574	-3	-2	1	93.665457	216.997372	0.0	310.642686	310.662829	1.121126771581603	0.27	3.34	0.9997	0.9998	0.0001	0.9998
48655	-3	-1	2	16257.919428	8121.835015	0.0	24377.044911	24379.754443	87.7932289507862	0.26	3.19	0.9997	0.9999	0.0002	0.9998
42391	-4	-3	1	960.81236	3298.619612	0.0	4259.132631	4259.431972	15.525007828490468	0.26	3.15	0.9996	0.9997	0.0001	0.9997
42422	-5	-2	3	286.992439	357.403926	60.276628	584.056081	644.3963650000001	2.3336534123004773	0.26	3.13	0.9995	0.9998	0.0003	0.9997
56058	-3	-2	1	67.123234	180.402925	0.0	247.511825	247.526159	0.829774694955376	0.26	3.16	0.9997	0.9998	0.0001	0.9998
